Exercise Name,Body Part,Equipment Needed,Level,Routine
Squat,Legs,Barbell,Intermediate,WeightLoss
Push-up,Chest,Bodyweight,Beginner,WeightLoss
Deadlift,Back,Barbell,Advanced,WeightLoss
Lunges,Legs,Bodyweight,Intermediate,WeightLoss
Bench Press,Chest,Dumbbells,Advanced,WeightLoss
Running,Cardio,Body,Beginner,WeightLoss
Pull-ups,Back,Bar,Intermediate,WeightLoss
Burpees,Full Body,None,Intermediate,WeightLoss
Cycling,Cardio,Stationary Bike,Beginner,WeightLoss
Plank,Core,None,Beginner,WeightLoss
Bicep Curls,Arms,Dumbbells,Intermediate,MuscleGrowth
Leg Press,Legs,Machine,Intermediate,MuscleGrowth
Dips,Chest,Parallel Bars,Advanced,MuscleGrowth
Shoulder Press,Shoulders,Dumbbells,Intermediate,MuscleGrowth
Crunches,Core,None,Beginner,MuscleGrowth
Pull-downs,Back,Machine,Intermediate,MuscleGrowth
Bench Dips,Arms,Bench,Intermediate,MuscleGrowth
Calf Raises,Legs,Bodyweight,Beginner,MuscleGrowth
Hammer Curls,Arms,Dumbbells,Intermediate,MuscleGrowth
Incline Press,Chest,Dumbbells,Intermediate,MuscleGrowth
Mountain Climbers,Full Body,None,Beginner,MuscleGrowth
Plank Row,Back,Dumbbells,Intermediate,MuscleGrowth
Hip Thrusts,Glutes,Barbell,Intermediate,MuscleGrowth
Russian Twists,Core,Weight Plate,Intermediate,MuscleGrowth
Jump Squats,Legs,Bodyweight,Advanced,MuscleGrowth
Box Jumps,Legs,Box,Intermediate,MuscleGrowth
Tricep Dips,Arms,Bench,Intermediate,MuscleGrowth
Sit-ups,Core,None,Beginner,MuscleGrowth
Bent Over Rows,Back,Barbell,Intermediate,MuscleGrowth
Lat Pulldowns,Back,Machine,Intermediate,MuscleGrowth
Step-ups,Legs,Step Platform,Beginner,FunctionalTraining
Battle Ropes,Full Body,Battle Ropes,Advanced,FunctionalTraining
Kettlebell Swings,Full Body,Kettlebell,Intermediate,FunctionalTraining
Medicine Ball Slams,Full Body,Medicine Ball,Intermediate,FunctionalTraining
TRX Rows,Back,TRX Straps,Intermediate,FunctionalTraining
Jumping Lunges,Legs,Bodyweight,Advanced,FunctionalTraining
